participant_id	sex	age	handedness
sub-01	M	34	L
sub-02	F	24	R
sub-03	M	40	R
sub-04	F	48	R
sub-05	M	25	R
sub-06	M	23	L
sub-07	M	26	R
sub-08	F	30	R
sub-09	F	28	R
sub-10	M	45	R
sub-11	F	34	R
